recipe_slug	score_bound
falafel	1.8407194606164075
spamburger	2.8822175546714286
bacon-fried-rice	2.8498783152290796
chicken-fingers	2.297887806348137
apple-crisp	2.311370120764893
cranberry-apple-crisp	2.310384953750026
bacon-chocolate-chip-cookies	2.701854976401563
sujebi	2.326606623692737
pasta-primavera	2.1740891892498797
ramen	2.406184888628765
brownies	2.7414695129635436
bacon-wrapped-scallops	2.7390896314529094
bacon-egg-muffins	2.7365516173096993
breakfast-burritos	2.819602301552231
bolognese-sauce	2.255187213741123
croissants	2.3505081935820553
bacon-souffle	2.6070511243631556
souffle	2.7205905263039205
chocolate-souffle	2.50646450506948
butter-croissants	2.0823659430794206
pickled-green-beans	2.308475846738334
fried-oysters	2.298488296699503
peanut-butter-brownies	2.592076173481336
almond-chip-cookies	2.2408996602342026
guacamole	1.8849593648946668
brioche-bread	2.3267827356476842
brioche-bread-with-chocolate	2.639270619647885
asparagus-quiche	2.7888059253832553
asparagus-burger	2.3475209754425572
ma-la-chicken	2.375806287946977
cold-noodles-with-tomatoes	2.3683847066560597
tamales	2.3689641880707
enchiladas	2.3025077602133868
tacos	2.7887695805627066
burritos	2.2732843844285178
peanut-butter-cupcakes	2.3094673203215694
pickled-asparagus	2.2720090320005646
chocolate-peanut-butter-cake	2.6669113113319973
udon	1.808792032989883
vegetable-lasagna	1.9782906514673162
maple-bacon-donuts	2.72565676047409
maple-bacon-pancakes	2.6908218640577597
spinach-and-ricotta-stuffed-shells	2.0342910514987267
quesadillas	2.8417950980014064
pico-de-gallo	1.805822253778748
nachos	2.7618676352420346
cold-soba-noodles-with-tomato-and-cucumber	1.8071491741602022
fajitas	2.362529996582115
loaded-nachos	2.313205789034911
lasagna	2.6156811767360213
chicken-nuggets	2.348237901515717
pain-au-chocolat	2.852634127223756
nacho-dip	2.686828356343193
nacho-salad	2.3670229311357858
nacho-casserole	2.2490013146810393
nacho-fries	2.8149814536609665
tempura-udon	2.274964101128093
peach-crisp	2.183631575959061
apple-pie	2.3565354873270072
blueberry-crisp	2.1175474194336035
berry-crumble	2.020440160639278
strawberry-rhubarb-crisp	2.3565838343497867
peach-cobbler	2.223219237091974
cranberry-sauce	2.28267752679832
cherry-cobbler	2.161290378985857
apple-crumble	2.3722295587055466
chocolate-croissants	2.584608156936132
french-toast	2.2740653649311344
chocolate-babka	2.8475732993744054
cinnamon-babka	2.165353779671311
blueberry-crumble	2.067249113509008
spam-musubi	2.7867434445256722
taco-salad	2.37736580077711
chiles-rellenos	2.7198355822502505
almond-croissants	2.201002837033032
cranberry-relish	2.282677526798319
ma-la-beef	2.3073448250752002
chocolate-cake	2.6459739698011826
spinach-quiche	2.660282844901948
mushroom-quiche	2.354811374608148
quiche-lorraine	2.772175246202523
croissant-aux-amandes	2.3462311805450105
danishes	2.313890353971047
spinach-and-feta-quiche	2.2811881959333604
cold-sesame-noodles	2.2520657134401536
soba-noodle-salad-with-peanut-dressing	1.8279924691694605
dan-dan-noodles	2.374021220923134
vanilla-souffle	2.3201919624770406
bacon-wrapped-dates	2.7482844447420494
cherry-pie	2.2325095108137254
berry-crisp	2.1601332215920093
bacon-and-egg-breakfast-sandwich	2.7705148060304863
bacon-wrapped-shrimp-skewers	2.7768684507714276
bacon-wrapped-chicken	2.8195007404620354
bacon-wrapped-asparagus	2.760539452222211
bacon-mac-and-cheese	2.823921152190022
chicken-alfredo-lasagna	2.2758287556681016
classic-beef-lasagna	2.2271372416771293
vegetarian-mushroom-lasagna	2.0727063958329466
spinach-and-ricotta-lasagna	2.202979570900647
